packagingId;packaging;
engangsflaskeravglass;Engangsflasker av glass;
pet;PET;
glassflaskeoverellerlik4ltr;Glassflaske over eller lik 4 ltr;
bibunder4ltr;BIB under 4 ltr;
flerforpakningavglass;Flerforpakning av glass;
biboverellerlik4ltr;BIB over eller lik 4 ltr;
tetrapakelopak;Tetrapak/Elopak;
norskolflaskepant;Norsk ølflaske (pant);
flerforpakningavpappemballasje;Flerforpakning av pappemballasje;
metallemballasjeresirkipant;Metallemballasje Resirk I (pant);
metallemballasjeikkepant;Metallemballasje (ikke pant);
norskolbokspant;Norsk ølboks (pant);
metallemballasjegrontpunktikkepant;Metallemballasje Grønt Punkt (ikke pant);
emballasjealkoholfristillevin;Emballasje alkoholfri stille vin;
flerforpakningavpet;Flerforpakning av PET;
metallemballasjeresirkiipant;Metallemballasje Resirk II (pant);
