producerId;name;
vsdist;V&S Dist.;
berentzendist;Berentzen Dist.;
wjgraham;W&J Graham;
altiacorp;Altia Corp.;
theabsolutcompany;The Absolut Company;
bachegabrielsen;Bache-Gabrielsen;
renault;Renault;
chdecognac;Ch. de Cognac;
larsen;Larsen;
frapin;Frapin;
hennessy;Hennessy;
courvoisier;Courvoisier;
deluze;De Luze;
martell;Martell;
rmymartin;Rémy Martin;
bellsdist;Bell's Dist.;
highlanddist;Highland Dist.;
chivasbrothers;Chivas Brothers;
berrybrosrudd;Berry Bros. & Rudd;
williamgrantsons;William Grant & Sons;
giorgiobarbero;Giorgio Barbero;
uniteddist;United Dist.;
brownforman;Brown-Forman;
irishdist;Irish Dist.;
fourrosesdist;Four Roses Dist.;
jbb;JBB;
gordonsdist;Gordon's Dist.;
angostura;Angostura;
joscuervo;José Cuervo;
martinirossi;Martini & Rossi;
cazanove;Cazanove;
cointreau;Cointreau;
marnierlapostolle;Marnier-Lapostolle;
bolsint;Bols Int.;
dekuyper;De Kuyper;
premagloire;Père Magloire;
sandeman;Sandeman;
girolamoluxardo;Girolamo Luxardo;
mariebrizard;Marie Brizard;
boddomecq;Bod. Domecq;
campari;Campari;
baronphilippederothschild;Baron Philippe de Rothschild;
bodcampoviejo;Bod. Campo Viejo;
lesprodrunis;Les Prod. Réunis;
ruffino;Ruffino;
jmdafonseca;J.M. da Fonseca;
bodfaustino;Bod. Faustino;
bodjulinchivite;Bod. Julián Chivite;
baronericasoli;Barone Ricasoli;
lamberti;Lamberti;
dopffirion;Dopff & Irion;
domhenribourgeois;Dom. Henri Bourgeois;
barrfrres;Barré Frères;
maasnathan;Maas Nathan;
hsichelshne;H. Sichel Söhne;
bigi;Bigi;
cantdisoave;Cant. di Soave;
migueltorres;Miguel Torres;
lacavedesvigneronsdepfaff;La Cave des Vignerons de Pfaff;
quintadaaveleda;Quinta da Aveleda;
fontanacandida;Fontana Candida;
sogrape;Sogrape;
renbarbier;René Barbier;
bollinger;Bollinger;
veuveclicquotponsardin;Veuve Clicquot Ponsardin;
fetrimbach;F.E. Trimbach;
lansonpreetfils;Lanson Père et Fils;
motchandon;Moët & Chandon;
lecepfranais;Le Cep Français;
bouvetladubay;Bouvet-Ladubay;
laurentperrier;Laurent-Perrier;
castellblanch;Castellblanch;
contessamatilde;Contessa Matilde;
rheinischesektkellerei;Rheinische Sektkellerei;
codornu;Codorníu;
henkellshnlein;Henkell & Söhnlein;
raimat;Raimat;
freixenet;Freixenet;
vinidelsa;Vinidelsa;
azagricolasamueleguerrini;Az. Agricola Samuele Guerrini;
tenmaiano;Ten. Maiano;
conchaytoro;Concha y Toro;
beamglobal;Beam Global;
thedrambuieliqueurco;The Drambuie Liqueur Co.;
marcantoninblain;Marc Antonin Blain;
domfontainegagnard;Dom. Fontaine-Gagnard;
amendes;A. Mendes;
braenderietenghaven;Brænderiet Enghaven;
bodegastoroalbal;Bodegas Toro Albalá;
thebenriachdistillerycoltd;The BenRiach Distillery Co Ltd;
sceagardeetfils;SCEA Garde et Fils;
ringigard;Ringi Gård;
henriot;Henriot;
baronemontalto;Barone Montalto;
chdepez;Ch. de Pez;
ronesdepanama;Rones de Panama;
terredominisrl;Terredomini S.R.L;
williamshumbert;Williams & Humbert;
eggegard;Egge Gård;
weingdreissigacker;Weing. Dreissigacker;
excellars;Excellars;
fellesjuiceas;FellesJuice AS;
epleblomstenas;Epleblomsten AS;
tommasi;Tommasi;
vieuxchgachet;Vieux Ch. Gachet;
cascinadesderi;Cascina Desderi;
heritiershclement;Heritiers H. Clement;
nichedrinks;Niche Drinks;
weingbeckerlandgraf;Weing. Becker Landgraf;
carmcasaagrroboredomadeir;CARM Casa Agr. Roboredo Madeir;
tenlameridiana;Ten. La Meridiana;
giuseppesavoia;Giuseppe Savoia;
andreacontucci;Andrea Contucci;
casabianca;Casabianca;
laurentmiquel;Laurent Miquel;
deviesas;Ôdevie SAS;
chmonsdelaunay;Ch. Mons Delaunay;
fattlagerla;Fatt. la Gerla;
franoisvillard;François Villard;
hornbeer;Hornbeer;
hacmonasterio;Hac. Monasterio;
weihenstephanbayerischestaat;Weihenstephan Bayerische Staat;
viaconosur;Viña Cono Sur;
taupenotmerme;Taupenot-Merme;
cicciozaccagnini;Ciccio Zaccagnini;
azagrcappellano;Az. Agr. Cappellano;
innocentbystanderwinery;Innocent Bystander Winery;
azagrfllisperi;Az. Agr. F.lli Speri;
hardangersaftogciderfabrikk;Hardanger Saft og Ciderfabrikk;
andredelorme;Andre Delorme;
domprignon;Dom. Pérignon;
andrlurton;André Lurton;
collivicentinisca;Colli Vicentini S.C.A.;
azagrfrancescoquaquarini;Az.Agr. Francesco Quaquarini;
fairview;Fairview;
pecchenino;Pecchenino;
elvispresleywinecellars;Elvis Presley Wine Cellars;
noblevines;Noble Vines;
ghmartelc;G.H. Martel & C.;
weingmaximingrunhauser;Weing. Maximin Grunhauser;
piccini;Piccini;
distbottega;Dist. Bottega;
kopke;Kopke;
azagrlaspinona;Az. Agr. La Spinona;
azagrmarzianoabbona;Az. Agr. Marziano Abbona;
allegrini;Allegrini;
marceldeiss;Marcel Deiss;
adriavinisrl;Adria Vini s.r.l.;
weingsaprm;Weing. S.A Prüm;
remipouizin;Remi Pouizin;
villatrasqua;Villa Trasqua;
wulura;Wulura;
globuswine;Globus Wine;
tenbadiadimorrona;Ten. Badia di Morrona;
taylorfladgateyeatman;Taylor Fladgate & Yeatman;
moutard;Moutard;
bindella;Bindella;
champagnepenetchardonnet;Champagne Penet-Chardonnet;
casaferreirinha;Casa Ferreirinha;
alexandrebonnet;Alexandre Bonnet;
bodjoaquinfernandez;Bod. Joaquin Fernandez;
poddeibricchiastigiani;Pod. dei Bricchi Astigiani;
fattcolmonedellamarca;Fatt. Colmone della Marca;
domsaintnicolas;Dom. Saint Nicolas;
andrjacquartfils;André Jacquart & Fils;
domducoulet;Dom. du Coulet;
arcaniasrl;Arcania S.R.L.;
domdelacadette;Dom. de la Cadette;
domdechassorney;Dom. de Chassorney;
cantvolpi;Cant. Volpi;
jeanfillioux;Jean Fillioux;
ragnaudsabourin;Ragnaud-Sabourin;
jnormandinmercier;J. Normandin-Mercier;
