productId;producerId;
1301;vsdist;
1302;vsdist;
1801;berentzendist;
2001;wjgraham;
2002;wjgraham;
3801;altiacorp;
3803;altiacorp;
3901;theabsolutcompany;
3902;theabsolutcompany;
4801;theabsolutcompany;
5401;bachegabrielsen;
5402;bachegabrielsen;
5404;bachegabrielsen;
5701;renault;
6201;chdecognac;
6202;chdecognac;
6501;larsen;
6502;larsen;
6601;larsen;
6801;frapin;
6901;hennessy;
6902;hennessy;
7001;courvoisier;
7101;deluze;
7102;deluze;
7103;deluze;
7501;martell;
7502;martell;
7701;rmymartin;
7901;hennessy;
8801;martell;
12001;bellsdist;
12002;bellsdist;
12401;highlanddist;
12402;highlanddist;
12403;highlanddist;
12701;highlanddist;
12901;chivasbrothers;
13601;chivasbrothers;
13602;chivasbrothers;
13901;berrybrosrudd;
14201;williamgrantsons;
14401;giorgiobarbero;
14501;uniteddist;
14601;brownforman;
14602;brownforman;
14607;brownforman;
14701;chivasbrothers;
16101;chivasbrothers;
16201;irishdist;
16202;irishdist;
16207;irishdist;
16501;fourrosesdist;
16601;jbb;
18701;chivasbrothers;
18702;chivasbrothers;
19001;gordonsdist;
19002;gordonsdist;
19604;angostura;
20901;joscuervo;
21601;martinirossi;
21602;martinirossi;
21701;martinirossi;
21702;martinirossi;
23201;martinirossi;
23801;cazanove;
24101;cointreau;
24102;cointreau;
24103;cointreau;
24601;marnierlapostolle;
24702;bolsint;
25001;bolsint;
25002;bolsint;
25201;dekuyper;
25801;bolsint;
27201;joscuervo;
27501;premagloire;
28701;sandeman;
29101;girolamoluxardo;
29102;girolamoluxardo;
29103;girolamoluxardo;
29104;girolamoluxardo;
29107;girolamoluxardo;
29501;mariebrizard;
35201;sandeman;
35301;sandeman;
35501;martinirossi;
35601;boddomecq;
36201;boddomecq;
36202;boddomecq;
37203;campari;
59101;baronphilippederothschild;
63701;bodcampoviejo;
65101;lesprodrunis;
65102;lesprodrunis;
65104;lesprodrunis;
66001;ruffino;
66002;ruffino;
67001;jmdafonseca;
67002;jmdafonseca;
67005;jmdafonseca;
67006;jmdafonseca;
67801;bodfaustino;
67901;bodcampoviejo;
67902;bodcampoviejo;
