productId;productTypeId;
1101;akevitt;
1102;akevitt;
1201;akevitt;
1301;akevitt;
1302;akevitt;
1502;akevitt;
1801;akevitt;
2001;portvin;
2002;portvin;
2401;vodka;
3501;vodka;
3502;vodka;
3801;vodka;
3803;vodka;
3901;vodka;
3902;vodka;
4401;vodka;
4801;vodka;
5201;druebrennevin;
5401;druebrennevin;
5402;druebrennevin;
5404;druebrennevin;
5701;druebrennevin;
6201;druebrennevin;
6202;druebrennevin;
6301;druebrennevin;
6302;druebrennevin;
6501;druebrennevin;
6502;druebrennevin;
6601;druebrennevin;
6801;druebrennevin;
6901;druebrennevin;
6902;druebrennevin;
7001;druebrennevin;
7101;druebrennevin;
7102;druebrennevin;
7103;druebrennevin;
7501;druebrennevin;
7502;druebrennevin;
7701;druebrennevin;
7901;druebrennevin;
8001;druebrennevin;
8801;druebrennevin;
10701;druebrennevin;
12001;whisky;
12002;whisky;
12101;whisky;
12102;whisky;
12201;whisky;
12202;whisky;
12401;whisky;
12402;whisky;
12403;whisky;
12701;whisky;
12901;whisky;
13601;whisky;
13602;whisky;
13901;whisky;
14201;whisky;
14401;likorunder22;
14501;whisky;
14601;whisky;
14602;whisky;
14607;whisky;
14701;whisky;
15001;whisky;
15301;whisky;
15901;whisky;
16101;whisky;
16201;whisky;
16202;whisky;
16207;whisky;
16501;whisky;
16601;whisky;
17001;whisky;
17702;genever;
18601;likor;
18602;likor;
18701;gin;
18702;gin;
19001;gin;
19002;gin;
19604;bitter;
19701;bitter;
19702;bitter;
20001;bitter;
20002;bitter;
20003;bitter;
20901;fruktbrennevin;
21601;vermut;
21602;vermut;
21701;vermut;
21702;vermut;
23201;vermut;
23801;likor;
24101;likor;
24102;likor;
24103;likor;
24201;aromatisertsvakvinogannenblandetdri;
24401;likor;
24601;likor;
24702;likorunder22;
25001;likorunder22;
25002;likorunder22;
25101;likorunder22;
25102;likorunder22;
25201;ovrigbrennevinunder22;
25801;likorunder22;
25901;likor;
25902;likor;
25903;likor;
26201;ovrigbrennevinunder22;
27201;fruktbrennevin;
27401;ovrigbrennevin;
27501;fruktbrennevin;
27601;portvin;
28101;portvin;
28701;portvin;
29101;likor;
29102;likor;
29103;likor;
29104;likor;
29107;likor;
29501;likorunder22;
35201;sherry;
35301;sherry;
35501;vermut;
35601;sherry;
36001;sherry;
36002;sherry;
36201;sherry;
36202;sherry;
37203;bitterunder22;
59101;rodvin;
63701;rodvin;
65101;rodvin;
65102;rodvin;
65104;rodvin;
66001;rodvin;
66002;rodvin;
67001;rodvin;
67002;rodvin;
67005;rodvin;
67006;rodvin;
67801;rodvin;
67901;rodvin;
67902;rodvin;
68501;rodvin;
68502;rodvin;
68801;rodvin;
69901;rodvin;
69902;rodvin;
69905;rodvin;
71501;rodvin;
74101;hvitvin;
74102;hvitvin;
74301;hvitvin;
74302;hvitvin;
74601;hvitvin;
77001;hvitvin;
79101;hvitvin;
79106;hvitvin;
82601;hvitvin;
83001;hvitvin;
83002;hvitvin;
83301;hvitvin;
83501;hvitvin;
83502;hvitvin;
83601;hvitvin;
83901;hvitvin;
83904;hvitvin;
85101;hvitvin;
85102;hvitvin;
85501;hvitvin;
85701;rosvin;
85702;rosvin;
85901;rosvin;
86101;rosvin;
86801;rosvin;
87901;musserendevin;
87902;musserendevin;
87905;musserendevin;
87907;musserendevin;
88101;musserendevin;
88102;musserendevin;
88105;musserendevin;
88107;musserendevin;
88201;musserendevin;
88202;musserendevin;
88801;hvitvin;
88802;hvitvin;
89101;musserendevin;
89102;musserendevin;
89105;musserendevin;
89501;musserendevin;
89502;musserendevin;
89504;musserendevin;
89505;musserendevin;
89507;musserendevin;
90006;hvitvin;
90101;musserendevin;
90201;musserendevin;
90601;musserendevin;
90602;musserendevin;
90801;musserendevin;
91001;musserendevin;
91501;musserendevin;
91502;musserendevin;
91505;musserendevin;
91507;musserendevin;
91801;musserendevin;
92901;musserendevin;
92902;musserendevin;
92904;musserendevin;
93201;musserendevin;
93202;musserendevin;
93204;musserendevin;
94101;musserendevin;
94401;musserendevin;
94402;musserendevin;
94404;musserendevin;
94405;musserendevin;
94601;musserendevin;
94602;musserendevin;
94605;musserendevin;
94607;musserendevin;
98601;musserendevin;
101301;rodvin;
101501;rodvin;
101701;rodvin;
101901;rodvin;
103101;ovrigbrennevin;
103301;likor;
103401;ovrigbrennevin;
103801;hvitvin;
104001;rodvin;
104201;hvitvin;
105301;hvitvin;
105601;hvitvin;
106102;ovrigbrennevin;
106202;hvitvin;
106308;whisky;
106401;rodvin;
106501;alkoholfritt;
106601;musserendevin;
106801;rodvin;
106806;rodvin;
108205;rodvin;
108305;rodvin;
108401;ovrigbrennevin;
108606;rodvin;
108701;gin;
108801;gin;
109306;alkoholfritt;
109401;alkoholfritt;
109501;hvitvin;
109601;rodvin;
109606;rodvin;
109701;rodvin;
109901;alkoholfritt;
110101;alkoholfritt;
110302;akevitt;
110606;rodvin;
110801;rodvin;
112201;rodvin;
112301;rosvin;
112402;rom;
112508;ovrigbrennevinunder22;
113601;hvitvin;
113901;rodvin;
114101;rodvin;
114201;rodvin;
114301;rodvin;
114701;rodvin;
114801;rodvin;
114901;rom;
115001;rodvin;
115301;rodvin;
115401;rodvin;
115501;rodvin;
116202;ol;
116301;rodvin;
116502;alkoholfritt;
116601;hvitvin;
117101;hvitvin;
117202;hvitvin;
117301;rodvin;
117401;rodvin;
117501;rodvin;
117601;rodvin;
117701;rodvin;
117802;ovrigsterkvin;
117901;musserendevin;
118001;rodvin;
118102;fruktbrennevin;
118401;musserendevin;
118501;musserendevin;
118505;musserendevin;
118605;musserendevin;
119001;musserendevin;
119105;musserendevin;
120801;rodvin;
124001;musserendevin;
124101;rodvin;
124201;rodvin;
124606;rodvin;
124701;rodvin;
124801;rodvin;
124901;rodvin;
125101;rodvin;
125201;hvitvin;
125301;musserendevin;
125601;hvitvin;
125701;rodvin;
125806;rodvin;
125901;musserendevin;
125904;musserendevin;
126301;portvin;
126501;rodvin;
126601;hvitvin;
126801;rodvin;
127201;hvitvin;
127401;rodvin;
127506;rodvin;
127601;hvitvin;
127701;rodvin;
128101;rosvin;
128201;hvitvin;
128306;rodvin;
128501;hvitvin;
128602;portvin;
128702;portvin;
128901;rodvin;
129101;musserendevin;
129201;rodvin;
129301;rodvin;
129401;rodvin;
129501;musserendevin;
129601;musserendevin;
129701;musserendevin;
130001;rodvin;
130101;musserendevin;
130205;rodvin;
130301;rodvin;
130401;rodvin;
130601;rodvin;
130901;rodvin;
131507;rodvin;
131601;rodvin;
131701;rodvin;
132501;musserendevin;
132601;musserendevin;
132701;rodvin;
132801;musserendevin;
132901;rodvin;
133201;hvitvin;
133301;rodvin;
133601;rodvin;
133701;hvitvin;
133901;rodvin;
134202;druebrennevin;
134301;druebrennevin;
134502;druebrennevin;
134602;druebrennevin;
135801;rodvin;
135901;rodvin;
136801;rodvin;
137201;rodvin;
137202;rodvin;
137205;rodvin;
137801;rodvin;
137901;rodvin;
138001;rodvin;
138801;rodvin;
138901;rodvin;
139301;rodvin;
139302;rodvin;
140201;rodvin;
140601;hvitvin;
140701;gin;
140805;musserendevin;
140901;musserendevin;
141102;druebrennevin;
142305;musserendevin;
142406;rodvin;
142801;rodvin;
142901;hvitvin;
143301;musserendevin;
143401;musserendevin;
143601;musserendevin;
143701;musserendevin;
143801;musserendevin;
143805;musserendevin;
144001;whisky;
144101;whisky;
144301;whisky;
144801;whisky;
144901;rodvin;
145001;druebrennevin;
145101;druebrennevin;
145801;hvitvin;
146101;hvitvin;
146201;hvitvin;
146701;musserendevin;
146801;rodvin;
146901;rodvin;
147001;hvitvin;
147401;hvitvin;
147501;hvitvin;
147601;rodvin;
148201;musserendevin;
148301;hvitvin;
148401;rodvin;
148501;akevitt;
148606;hvitvin;
148701;rodvin;
148801;rodvin;
149001;musserendevin;
149101;rodvin;
149201;hvitvin;
149301;rodvin;
149401;whisky;
150101;whisky;
150201;whisky;
150301;whisky;
150401;whisky;
150501;whisky;
150802;ol;
150902;ol;
151001;ol;
151101;ol;
151201;ol;
151301;rodvin;
151302;rodvin;
151402;whisky;
151601;rodvin;
152101;rodvin;
152201;rodvin;
152601;hvitvin;
153302;hvitvin;
153901;hvitvin;
155201;rodvin;
155301;rodvin;
155401;hvitvin;
155501;rodvin;
155601;rodvin;
155701;rodvin;
155901;rodvin;
156001;rodvin;
156201;druebrennevin;
156202;druebrennevin;
156401;rodvin;
156801;rodvin;
156901;akevitt;
157001;akevitt;
157101;bitter;
157301;rodvin;
157602;hvitvin;
157901;hvitvin;
158001;akevitt;
158301;rodvin;
158401;whisky;
158601;rodvin;
158701;rodvin;
158801;rodvin;
158901;rodvin;
160102;fruktvin;
160301;hvitvin;
160401;hvitvin;
161701;rodvin;
161801;rodvin;
162201;rodvin;
162301;rodvin;
162502;ol;
162602;ol;
162701;portvin;
163601;alkoholfritt;
163801;rodvin;
163902;musserendevin;
164101;vermut;
164901;musserendevin;
165002;hvitvin;
165101;akevitt;
165102;akevitt;
165602;hvitvin;
165801;rodvin;
165901;vodka;
165902;vodka;
166001;rodvin;
166301;rodvin;
166401;rodvin;
166601;rodvin;
166701;rodvin;
166801;musserendevin;
167107;rodvin;
167201;rodvin;
167502;akevitt;
167602;akevitt;
167901;rodvin;
168001;rodvin;
168102;akevitt;
168402;ovrigbrennevinunder22;
168801;hvitvin;
169401;rodvin;
169501;rodvin;
169601;rodvin;
169901;rodvin;
170001;musserendevin;
170101;rodvin;
170301;rodvin;
170401;hvitvin;
170501;rodvin;
170502;rodvin;
170505;rodvin;
170601;rodvin;
170801;hvitvin;
170905;rodvin;
