productId;regionId;
1101;ovrige-norge;
1102;ovrige-norge;
1201;ovrige-norge;
1301;ovrige-danmark;
1302;ovrige-danmark;
1502;ovrige-norge;
1801;ovrige-tyskland;
2001;douro;
2002;douro;
2401;ovrige-norge;
3501;ovrige-norge;
3502;ovrige-norge;
3801;ovrige-finland;
3803;ovrige-finland;
3901;ovrige-sverige;
3902;ovrige-sverige;
4401;ovrige-norge;
4801;ovrige-sverige;
5201;cognactradisjonell;
5401;cognactradisjonell;
5402;cognactradisjonell;
5404;cognactradisjonell;
5701;cognactradisjonell;
6201;cognactradisjonell;
6202;cognactradisjonell;
6301;cognactradisjonell;
6302;cognactradisjonell;
6501;cognactradisjonell;
6502;cognactradisjonell;
6601;cognactradisjonell;
6801;cognacbrut;
6901;cognactradisjonell;
6902;cognactradisjonell;
7001;cognactradisjonell;
7101;cognactradisjonell;
7102;cognactradisjonell;
7103;cognactradisjonell;
7501;cognactradisjonell;
7502;cognactradisjonell;
7701;cognactradisjonell;
7901;cognactradisjonell;
8001;cognactradisjonell;
8801;cognactradisjonell;
10701;ovrige-hellas;
12001;ovrige-skottland;
12002;ovrige-skottland;
12101;ovrige-skottland;
12102;ovrige-skottland;
12201;ovrige-skottland;
12202;ovrige-skottland;
12401;ovrige-skottland;
12402;ovrige-skottland;
12403;ovrige-skottland;
12701;orkneyisland;
12901;speyside;
13601;ovrige-skottland;
13602;ovrige-skottland;
13901;ovrige-skottland;
14201;speyside;
14401;ovrige-italia;
14501;ovrige-skottland;
14601;tennessee;
14602;tennessee;
14607;tennessee;
14701;ovrige-skottland;
15001;ovrige-skottland;
15301;ovrige-skottland;
15901;ovrige-skottland;
16101;ovrige-skottland;
16201;ovrige-irland;
16202;ovrige-irland;
16207;ovrige-irland;
16501;ovrige-usa;
16601;ovrige-usa;
17001;ovrige-canada;
17702;ovrige-nederland;
18601;ovrige-italia;
18602;ovrige-italia;
18701;ovrige-england;
18702;ovrige-england;
19001;ovrige-england;
19002;ovrige-england;
19604;ovrige-trinidadtobago;
19701;ovrige-danmark;
19702;ovrige-danmark;
20001;ovrige-tyskland;
20002;ovrige-tyskland;
20003;ovrige-tyskland;
20901;ovrige-mexico;
21601;ovrige-italia;
21602;ovrige-italia;
21701;ovrige-italia;
21702;ovrige-italia;
23201;ovrige-italia;
23801;ovrige-frankrike;
24101;ovrige-frankrike;
24102;ovrige-frankrike;
24103;ovrige-frankrike;
24201;ovrige-frankrike;
24401;ovrige-frankrike;
24601;ovrige-frankrike;
24702;ovrige-nederland;
25001;ovrige-nederland;
25002;ovrige-nederland;
25101;ovrige-nederland;
25102;ovrige-nederland;
25201;ovrige-nederland;
25801;ovrige-nederland;
25901;ovrige-skottland;
25902;ovrige-skottland;
25903;ovrige-skottland;
26201;ovrige-norge;
27201;ovrige-mexico;
27401;ovrige-frankrike;
27501;calvados;
27601;douro;
28101;douro;
28701;douro;
29101;ovrige-italia;
29102;ovrige-italia;
29103;ovrige-italia;
29104;veneto;
29107;ovrige-italia;
29501;ovrige-frankrike;
35201;ovrige-spania;
35301;ovrige-spania;
35501;ovrige-italia;
35601;ovrige-spania;
36001;ovrige-spania;
36002;ovrige-spania;
36201;ovrige-spania;
36202;ovrige-spania;
37203;ovrige-italia;
59101;bordeaux;
63701;rioja;
65101;rhnesor;
65102;rhnesor;
65104;rhnesor;
66001;toscana;
66002;toscana;
67001;setubal;
67002;setubal;
67005;setubal;
67006;setubal;
67801;rioja;
67901;rioja;
67902;rioja;
68501;rioja;
68502;rioja;
68801;navarra;
69901;toscana;
69902;toscana;
69905;toscana;
71501;veneto;
74101;alsace;
74102;alsace;
74301;loire;
74302;loire;
74601;loire;
77001;mosel;
79101;rheinhessen;
79106;rheinhessen;
82601;lazio;
83001;veneto;
83002;veneto;
83301;catalonia;
83501;catalonia;
83502;catalonia;
83601;alsace;
83901;minho;
83904;minho;
85101;bordeaux;
85102;bordeaux;
85501;lazio;
85701;ovrige-portugal;
85702;ovrige-portugal;
85901;ovrige-portugal;
86101;ovrige-italia;
86801;catalonia;
