productId;volume;
1101;0.70;
1102;0.35;
1201;0.70;
1301;0.70;
1302;0.35;
1502;0.50;
1801;0.70;
2001;0.75;
2002;0.38;
2401;0.70;
3501;0.70;
3502;0.35;
3801;0.70;
3803;0.05;
3901;0.70;
3902;0.35;
4401;0.70;
4801;0.70;
5201;0.70;
5401;0.70;
5402;0.35;
5404;0.20;
5701;0.70;
6201;0.70;
6202;0.35;
6301;0.70;
6302;0.35;
6501;0.70;
6502;0.35;
6601;0.70;
6801;0.70;
6901;0.70;
6902;0.35;
7001;0.70;
7101;0.70;
7102;0.35;
7103;0.05;
7501;0.70;
7502;0.35;
7701;0.70;
7901;0.70;
8001;0.70;
8801;0.70;
10701;0.70;
12001;0.70;
12002;0.35;
12101;0.70;
12102;0.35;
12201;0.70;
12202;0.35;
12401;0.70;
12402;0.35;
12403;0.05;
12701;0.70;
12901;0.70;
13601;0.70;
13602;0.35;
13901;0.70;
14201;0.70;
14401;0.70;
14501;0.70;
14601;0.70;
14602;0.35;
14607;3.00;
14701;0.70;
15001;0.70;
15301;0.70;
15901;0.70;
16101;0.70;
16201;0.70;
16202;0.35;
16207;4.50;
16501;0.70;
16601;0.70;
17001;0.70;
17702;0.50;
18601;0.70;
18602;0.35;
18701;0.70;
18702;0.35;
19001;0.70;
19002;0.35;
19604;0.20;
19701;0.70;
19702;0.35;
20001;0.70;
20002;0.35;
20003;0.10;
20901;0.70;
21601;1.00;
21602;0.50;
21701;1.00;
21702;0.50;
23201;1.00;
23801;0.70;
24101;0.70;
24102;0.35;
24103;0.05;
24201;0.75;
24401;0.70;
24601;0.70;
24702;0.50;
25001;0.70;
25002;0.50;
25101;0.70;
25102;0.35;
25201;0.70;
25801;0.70;
25901;0.70;
25902;0.35;
25903;0.05;
26201;0.70;
27201;0.70;
27401;0.70;
27501;0.70;
27601;0.75;
28101;0.75;
28701;0.75;
29101;0.70;
29102;0.50;
29103;0.05;
29104;0.20;
29107;4.50;
29501;0.70;
35201;0.75;
35301;0.75;
35501;1.00;
35601;0.75;
36001;0.75;
36002;0.38;
36201;0.75;
36202;0.38;
37203;0.04;
59101;0.75;
63701;0.75;
65101;0.75;
65102;0.38;
65104;0.25;
66001;0.75;
66002;0.38;
67001;0.75;
67002;0.38;
67005;1.50;
67006;3.00;
67801;0.75;
67901;0.75;
67902;0.38;
68501;0.75;
68502;0.38;
68801;0.75;
69901;0.75;
69902;0.38;
69905;1.50;
71501;0.75;
74101;0.75;
74102;0.38;
74301;0.75;
74302;0.38;
74601;0.75;
77001;0.75;
79101;0.75;
79106;2.00;
82601;0.75;
83001;0.75;
83002;0.38;
83301;0.75;
83501;0.75;
83502;0.38;
83601;0.75;
83901;0.75;
83904;0.19;
85101;0.75;
85102;0.38;
85501;0.75;
85701;0.75;
85702;0.38;
85901;0.75;
86101;0.75;
86801;0.75;
87901;0.75;
87902;0.38;
87905;1.50;
87907;3.00;
88101;0.75;
88102;0.38;
88105;1.50;
88107;3.00;
88201;0.75;
88202;0.38;
88801;0.75;
88802;0.38;
89101;0.75;
89102;0.38;
89105;1.50;
89501;0.75;
89502;0.38;
89504;0.20;
89505;1.50;
89507;3.00;
90006;3.00;
90101;0.75;
90201;0.75;
90601;0.75;
90602;0.38;
90801;0.75;
91001;0.75;
91501;0.75;
91502;0.38;
91505;1.50;
91507;6.00;
91801;0.75;
92901;0.75;
92902;0.38;
92904;0.20;
93201;0.75;
93202;0.38;
