productTypeId;productType;
akevitt;Akevitt;
portvin;Portvin;
vodka;Vodka;
druebrennevin;Druebrennevin;
whisky;Whisky;
likorunder22;Likør under 22 %;
genever;Genever;
likor;Likør;
gin;Gin;
bitter;Bitter;
fruktbrennevin;Fruktbrennevin;
vermut;Vermut;
aromatisertsvakvinogannenblandetdri;Aromatisert Svakvin og annen blandet dri;
ovrigbrennevinunder22;Øvrig Brennevin under 22 %;
ovrigbrennevin;Øvrig Brennevin;
sherry;Sherry;
bitterunder22;Bitter under 22 %;
rodvin;Rødvin;
hvitvin;Hvitvin;
rosvin;Rosévin;
musserendevin;Musserende Vin;
alkoholfritt;Alkoholfritt;
rom;Rom;
ol;Øl;
ovrigsterkvin;Øvrig Sterkvin;
fruktvin;Fruktvin;
aromatisertsterkvin;Aromatisert Sterkvin;
musserendefruktvin;Musserende Fruktvin;
madeira;Madeira;
ovrigsvakvin;Øvrig Svakvin;
